Timestamp,1.) In which industry does the company operate?,2.) What type of software does the company construct?,3.) Which SDLC methodology does the company follow for software projects? (you can select more than one option),"4.) If more than one methodology was chosen in question 3, how do you/the company decide which methodology to choose for a given project? Leave blank if not more than one methodology was chosen",5.) If the Hybrid SDLC methodology was chosen in question 3 – What variation of SDLC methodologies do you use to implement software? Leave blank if hybrid was not chosen,Please state the methodology you're rating,Project Type,Requirements Volatility,Requirements Clarity ,Development Time,Project Size,Team Size,Product Complexity,Testing ,Please rate the following characteristics with low/high values (please choose only one value per row) [Risk Analysis],Please rate the following characteristics with low/high values (please choose only one value per row) [User Participation ],Please rate the following characteristics with low/high values (please choose only one value per row) [Team expertise on the technologies for the project],Please rate the following characteristics with low/high values (please choose only one value per row) [Development Expertise],Please rate the following characteristics with low/high values (please choose only one value per row) [Documentation needed],Please rate the following characteristics with low/high values (please choose only one value per row) [Funding Available],Please rate the following characteristics with low/high values (please choose only one value per row) [Delivery Speed],Please rate the following characteristics with low/high values (please choose only one value per row) [Task Visualisation],Please rate the following characteristics with low/high values (please choose only one value per row) [Prototyping],Please state the methodology you're rating,Project Type,Requirements Volatility,Requirements Clarity ,Development Time,Project Size,Team Size,Product Complexity,Testing Intensity,Please rate the following characteristics with low/high values (please choose only one value per row) [Risk Analysis],Please rate the following characteristics with low/high values (please choose only one value per row) [User Participation ],Please rate the following characteristics with low/high values (please choose only one value per row) [Team expertise on the technologies for the project],Please rate the following characteristics with low/high values (please choose only one value per row) [Development Expertise],Please rate the following characteristics with low/high values (please choose only one value per row) [Documentation needed],Please rate the following characteristics with low/high values (please choose only one value per row) [Funding Available],Please rate the following characteristics with low/high values (please choose only one value per row) [Delivery Speed],Please rate the following characteristics with low/high values (please choose only one value per row) [Task Visualisation],Please rate the following characteristics with low/high values (please choose only one value per row) [Prototyping],"6. Which of the criteria mentioned in sections 2 and 3, you believe that are the most important in choosing a SDLC methodology over another?","7.) Do you think that there are additional requirements (aside from those mentioned in the previous question) that influence your decision to choose a SDLC method for a project? If yes, please mention the rating/value alongside the characteristic for the SDLC methodology you selected in previous questions (e.g., Documentation: high).",
2021/11/30 6:40:21 pm CET,Gaming,b. Information systems,Scrum;Kanban,Depending on the project,Scrum and Kanban,Kanban,Application (everything else),Changing,understandable/early defined,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,Medium,High,High,Medium,Medium,High,High,Low,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,High,High,High,Medium,Medium,Medium,Low,Low,Requirements Clarity;Project Type;Funding Available;Testing Intensity,Documentation and prioritization ,
2021/11/30 6:44:31 pm CET,Gaming,b. Information systems,Hybrid,,Scrum and Kanban,Hybrid: Scrum and Kanban,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Large,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,Medium,High,High,Low,High,High,Medium,Low,Scrum,Application (everything else),Changing,understandable/early defined,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Medium,High,High,Low,Medium,Medium,Medium,Low,Low,Requirements Clarity;User Participation;Product Complexity;Project Type;Development Time;Team Expertise on the technologies to be used for the project,N/A,
2021/11/30 6:54:29 pm CET,Information Technology,b. Information systems,Hybrid,,Scrum and Kanban,Hybrid: Scrum and Kanban,Application (everything else),Changing,unknown/defined later in the lifecycle,Non-Intensive,Large,Large (16....),Simple,After development is done (Non-intensive testing),Medium,High,High,High,Medium,Medium,High,High,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Risk Analysis;Development Time;Testing Intensity,No,
2021/11/30 10:44:48 pm CET,Information Technology,b. Information systems,Waterfall;Scrum;Kanban,Depends on the complexity of the task or engagement format,,Hybrid: Scrum and Waterfall,Application (everything else),Changing,understandable/early defined,Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,High,High,High,Medium,High,High,Low,Low,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Low,Low,Low,High,High,Medium,Low,Low,Product Complexity;Team Expertise on the technologies to be used for the project,Familiarity of team members with SDLC method,
2021/12/01 3:37:51 pm CET,Gaming,Casino Slot Games Development,Scrum,,Scrum and Kanban,Scrum,Utility (performs specific tasks to keep the computer running e.g. antivirus),Changing,unknown/defined later in the lifecycle,Intensive,Large,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,Scrum,Application (everything else),Changing,understandable/early defined,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Medium,High,High,Low,Medium,Medium,Medium,Low,Low,Requirements Clarity;Requirements Volatility;Risk Analysis;User Participation;Project Size;Team Size;Product Complexity;Project Type;Development Time;Team Expertise on the technologies to be used for the project;Development Expertise;Funding Available;Testing Intensity,No,
2021/12/01 9:56:43 pm CET,Information Technology,b. Information systems,Waterfall;Kanban,depends on the nature and complexity of the projecct,,Kanban,Application (everything else),Changing,understandable/early defined,Non-Intensive,Medium,Large (16....),Simple,After each cycle (Intensive testing),High,Low,High,High,Medium,Medium,High,High,Low,Waterfall,Application (everything else),Fixed,understandable/early defined,Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Low,High,Low,Medium,High,Low,Low,Low,Requirements Clarity;Development Time,team experience ,
2021/12/02 11:10:25 am CET,Information Technology,b. Information systems,Scrum,N/A,Scrum and Kanban,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Large,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;User Participation;Development Time,"I will always use SCRUM no matter what, and I think everyone should do the same!",
2021/12/02 12:47:36 pm CET,Information Technology,b. Information systems,Waterfall;Scrum;Hybrid,Dependent on the project structure. Some projects just work better as waterfall or hybrid. But scrum is primary process objective.,Scrum and Waterfall,Waterfall,Utility (performs specific tasks to keep the computer running e.g. antivirus),Fixed,understandable/early defined,Non-Intensive,Large,Medium (6-15),Complex,After development is done (Non-intensive testing),High,Low,High,High,High,High,Low,Low,Low,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,High,High,High,Medium,Medium,High,Low,Low,Risk Analysis;Project Type;Funding Available,No,
2021/12/02 12:55:06 pm CET,Information Technology,b. Information systems,Waterfall;Scrum,Depending on who is leading the project,,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Medium,Small (1-5),Simple,After development is done (Non-intensive testing),High,Low,High,Medium,Medium,Medium,Low,Low,Low,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,High,High,High,Medium,Medium,High,Low,Low,Requirements Volatility;Risk Analysis;User Participation;Product Complexity;Project Type;Testing Intensity,no,
2021/12/02 3:03:44 pm CET,Information Technology,b. Information systems,Scrum,,,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Non-Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Low,Low,Low,High,High,Low,Low,Medium,Project Size,n/a,
2021/12/02 11:48:34 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Waterfall,,,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Medium,Low,Low,High,High,Low,Low,Low,RAD,System (sits between the hardware and the application software e.g. OSs),Fixed,understandable/early defined,Intensive,Large,Large (16....),Simple,After each cycle (Intensive testing),Low,High,High,High,Medium,Low,High,Low,Medium,Requirements Clarity;Risk Analysis;Team Size,Documentation is extremely important so that the project is clear to everyone involved. ,
2021/12/03 10:15:30 am CET,Finance,b. Information systems,Scrum,,No hybrid was chosen,Scrum,System (sits between the hardware and the application software e.g. OSs),Changing,unknown/defined later in the lifecycle,Non-Intensive,Large,Large (16....),Complex,After development is done (Non-intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis,Not really as scrum can work with a variety of projects,
2021/12/03 10:52:43 am CET,Gaming,b. Information systems,Scrum;Kanban,"For website development which are mostly market facing, it's kanban (i.e. top priority first and we go down the list).  For more stable internal systems in which priorities do not change much we use scrum",,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Small (1-5),Complex,After each cycle (Intensive testing),High,Medium,High,High,Medium,High,High,Low,Low,Kanban,Utility (performs specific tasks to keep the computer running e.g. antivirus),Changing,understandable/early defined,Non-Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),High,Medium,High,Medium,Medium,High,High,High,Low,Requirements Volatility;Project Type;Development Time,"Country regulations, urgent requests from sales, the need to add a new feature ASAP",
2021/12/03 2:17:39 pm CET,Information Technology,b. Information systems,Waterfall,,,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Low,Low,Low,High,High,Low,Low,Low,Waterfall,Application (everything else),Fixed,unknown/defined later in the lifecycle,Non-Intensive,Small,Medium (6-15),Complex,After development is done (Non-intensive testing),High,Low,High,Medium,High,High,Medium,Low,Low,Requirements Clarity;User Participation;Project Size;Team Size;Product Complexity;Development Time;Team Expertise on the technologies to be used for the project;Development Expertise,n/a,
2021/12/03 4:14:11 pm CET,Information Technology,b. Information systems,Waterfall;Scrum;Hybrid,Depends on the management and team mindset. Normally we tend to go for an Agile approach hence choosing Scrum over waterfall. Waterfall is an approach which we try to keep away as much as possible but unfortunately not always possible.,Scrum and Waterfall,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Non-Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Low,Low,Low,Low,High,Low,Low,Medium,Requirements Clarity;Requirements Volatility;User Participation;Development Expertise;Testing Intensity,Yes - Team lack of knowledge on agile approach,
2021/12/03 8:27:32 pm CET,Information Technology,b. Information systems,Waterfall;Scrum;Hybrid,Depends on the requirements,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Application (everything else),Fixed,understandable/early defined,Intensive,Large,Medium (6-15),Simple,After each cycle (Intensive testing),Medium,High,High,Low,High,High,High,Low,Low,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Low,Low,Low,Medium,High,Low,Low,Low,Requirements Clarity;Risk Analysis;Product Complexity;Team Expertise on the technologies to be used for the project;Development Expertise;Funding Available,Documentation: High,
2021/12/03 8:31:14 pm CET,E-Commerce,Websites,Scrum,,,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Non-Intensive,Medium,Small (1-5),Complex,After development is done (Non-intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Project Size;Team Size;Product Complexity;Development Time,No,
2021/12/03 9:43:19 pm CET,Finance,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum;Rapid Application Development (RAD),Project size,,Scrum,Utility (performs specific tasks to keep the computer running e.g. antivirus),Changing,unknown/defined later in the lifecycle,Non-Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,RAD,System (sits between the hardware and the application software e.g. OSs),Fixed,understandable/early defined,Intensive,Large,Large (16....),Simple,After each cycle (Intensive testing),Low,High,High,High,High,Low,High,Low,Medium,Requirements Clarity;Requirements Volatility;Risk Analysis;Project Size,No,
2021/12/03 9:46:40 pm CET,Information Technology,b. Information systems,Waterfall,,,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Low,Low,Low,High,High,Low,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Product Complexity,No,
2021/12/03 9:51:15 pm CET,Finance,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Kanban;Hybrid,,Scrum and Waterfall,Kanban,Application (everything else),Changing,unknown/defined later in the lifecycle,Non-Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),Medium,Medium,High,High,Low,Medium,Low,High,Low,Hybrid: Scrum and Waterfall,Application (everything else),Changing,understandable/early defined,Intensive,Large,Large (16....),Simple,After each cycle (Intensive testing),High,High,High,High,High,Medium,High,Low,Low,Requirements Clarity;Requirements Volatility;Risk Analysis;Product Complexity;Project Type,No,
2021/12/03 9:56:24 pm CET,Information Technology,Custom Applications,Waterfall;Scrum;Hybrid,Depends on the nature of the project and the requirements of the client,Scrum and Waterfall,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Large,Medium (6-15),Complex,After development is done (Non-intensive testing),High,Low,Low,Low,Low,Low,Low,Low,Low,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Low,Low,Medium,High,High,Low,Low,Low,Requirements Clarity;Project Size;Product Complexity;Project Type;Development Time;Team Expertise on the technologies to be used for the project,The length of the project (medium),
2021/12/04 12:20:05 am CET,Information Technology,b. Information systems,Waterfall,,,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Medium (6-15),Simple,After development is done (Non-intensive testing),Medium,Medium,Low,Low,High,High,Low,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis;User Participation;Development Time;Team Expertise on the technologies to be used for the project;Funding Available;Testing Intensity,No ,
2021/12/04 9:45:07 am CET,Finance,"c. Distributed systems i.e., Collection of computers working together to appear as a single computer to the end-user e.g., telephone networks, wireless sensor networks, routing algorithms, distributed databases.",Scrum,,,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Non-Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Product Complexity;Development Time;Testing Intensity,No,
2021/12/04 10:00:00 am CET,Information Technology,"c. Distributed systems i.e., Collection of computers working together to appear as a single computer to the end-user e.g., telephone networks, wireless sensor networks, routing algorithms, distributed databases.",Scrum,,,Scrum,System (sits between the hardware and the application software e.g. OSs),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Small (1-5),Complex,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Risk Analysis;Team Expertise on the technologies to be used for the project;Testing Intensity,No,
2021/12/04 10:17:07 am CET,Information Technology,b. Information systems,Scrum,,,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After development is done (Non-intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Risk Analysis;Development Time;Team Expertise on the technologies to be used for the project,"Resource allocation: High (Setting up virtual machines, granting access in certain environments etc) - Needs to be done beforehand as it saves time",
2021/12/04 5:35:44 pm CET,Gaming,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Spiral,,,Spiral,Utility (performs specific tasks to keep the computer running e.g. antivirus),Changing,unknown/defined later in the lifecycle,Intensive,Large,Small (1-5),Complex,After development is done (Non-intensive testing),High,Medium,High,High,Low,Low,Low,Low,High,,,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis;Project Size,Prototyping:  high,
2021/12/04 5:41:53 pm CET,Information Technology,"c. Distributed systems i.e., Collection of computers working together to appear as a single computer to the end-user e.g., telephone networks, wireless sensor networks, routing algorithms, distributed databases.",Rapid Application Development (RAD);Hybrid,,Scrum and Waterfall,RAD,System (sits between the hardware and the application software e.g. OSs),Fixed,understandable/early defined,Intensive,Large,Medium (6-15),Simple,After each cycle (Intensive testing),Low,Medium,High,High,High,Low,High,Low,Medium,Hybrid: Scrum and Waterfall,Application (everything else),Changing,understandable/early defined,Non-Intensive,Large,Small (1-5),Complex,After development is done (Non-intensive testing),Medium,Medium,Medium,High,High,High,High,Low,Low,Requirements Clarity;Requirements Volatility;Risk Analysis,"Cycles - Short, Prototyping - high",
2021/12/04 6:17:06 pm CET,Finance,Payment system kind of like revolut,Scrum,,,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After development is done (Non-intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Project Size;Development Time;Funding Available,No I that quite sums it up,
2021/12/04 9:05:31 pm CET,Information Technology,b. Information systems,Scrum,,Scrum and Kanban,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Non-Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Risk Analysis;Team Size;Team Expertise on the technologies to be used for the project;Funding Available,n/a,
2021/12/05 7:42:55 pm CET,Finance,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Waterfall,,,Waterfall,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Small,Small (1-5),Simple,After development is done (Non-intensive testing),High,Low,Medium,Medium,High,Medium,Low,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Risk Analysis,n/a,
2021/12/05 7:52:13 pm CET,Information Technology,Biometric verification,Agile,,,Kanban,Application (everything else),Changing,understandable/early defined,Non-Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),High,Medium,High,High,Medium,Medium,High,High,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity,Variety of components to the solution perhaps ,
2021/12/06 7:59:26 am CET,Gaming,"c. Distributed systems i.e., Collection of computers working together to appear as a single computer to the end-user e.g., telephone networks, wireless sensor networks, routing algorithms, distributed databases.",Scrum;Kanban,Depending on resources,,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,Medium,High,High,Low,Medium,High,Low,Low,Kanban,Application (everything else),Changing,understandable/early defined,Intensive,Large,Medium (6-15),Simple,After each cycle (Intensive testing),Medium,High,Medium,Low,High,Medium,High,High,Low,Requirements Clarity;Requirements Volatility;Project Size;Team Size;Development Time,Resources available: high,
2021/12/06 8:14:10 am CET,Information Technology,b. Information systems,Waterfall;Kanban;Hybrid;Agile ,,Scrum and Kanban,Hybrid: Scrum and Kanban,Application (everything else),Changing,understandable/early defined,Intensive,Large,Medium (6-15),Complex,After each cycle (Intensive testing),Low,High,High,High,Low,High,High,High,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Risk Analysis;Development Time;Development Expertise,Yes 9,
2021/12/06 10:00:16 am CET,Information Technology,"c. Distributed systems i.e., Collection of computers working together to appear as a single computer to the end-user e.g., telephone networks, wireless sensor networks, routing algorithms, distributed databases.",Hybrid,,Scrum and Kanban,Hybrid: Scrum and Kanban,Application (everything else),Fixed,unknown/defined later in the lifecycle,Non-Intensive,Large,Large (16....),Complex,After development is done (Non-intensive testing),Medium,Medium,High,High,Low,Low,High,High,Medium,,,,,,,,,,,,,,,,,,,Requirements Volatility;Project Size;Project Type,no,
2021/12/06 10:23:03 am CET,Information Technology,b. Information systems,Scrum;Kanban;Hybrid,"We propose a hybrid of scrum and agile which is a preset way of working for us, but we might work as per client's request",Scrum and Kanban,Kanban,Application (everything else),Changing,understandable/early defined,Intensive,Large,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,High,Medium,Medium,Medium,Medium,High,Low,,,,,,,,,,,,,,,,,,,Risk Analysis;Product Complexity;Development Time,Are we working with an inhouse team alone or are we working with a second ISV in parallel,
2021/12/06 10:52:40 am CET,Finance,b. Information systems,Scrum,Mostly based on user requirements and system complexity,,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Small (1-5),Complex,After each cycle (Intensive testing),High,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Volatility;Project Size;Development Time,N/A,
